2025-04-18 10:15:08.062 [restartedMain] INFO  c.t.f.main.FraudDetectionApplication - Starting FraudDetectionApplication using Java 18 with PID 48191 (/Users/shaofeng.hu/code/hsbc/fraud-detection/fraud-detection/target/classes started by shaofeng.hu in /Users/shaofeng.hu/code/hsbc/fraud-detection/fraud-detection)
2025-04-18 10:15:08.064 [restartedMain] DEBUG c.t.f.main.FraudDetectionApplication - Running with Spring Boot v3.4.4, Spring v6.2.5
2025-04-18 10:15:08.065 [restartedMain] INFO  c.t.f.main.FraudDetectionApplication - The following 1 profile is active: "prod"
2025-04-18 10:15:08.116 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-18 10:15:08.116 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-18 10:15:09.053 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-18 10:15:09.069 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-18 10:15:09.072 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-18 10:15:09.073 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-04-18 10:15:09.122 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-18 10:15:09.122 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1005 ms
2025-04-18 10:15:09.569 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-04-18 10:15:09.582 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-18 10:15:09.596 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-04-18 10:15:09.607 [restartedMain] INFO  c.t.f.main.FraudDetectionApplication - Started FraudDetectionApplication in 2.057 seconds (process running for 2.377)
2025-04-18 10:16:07.219 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-04-18 10:16:07.234 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
